GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Yawg acceptance tests/yawg-api,com.varmateo.yawg.api,Result,0,15,0,0,0,4,0,3,0,3
Yawg acceptance tests/yawg-api,com.varmateo.yawg.api,BakeOptionsBuilder.BakeOptionsImpl,0,35,0,0,0,10,0,5,0,5
Yawg acceptance tests/yawg-api,com.varmateo.yawg.api,BakeOptionsBuilder,21,58,0,0,7,17,2,7,2,7
Yawg acceptance tests/yawg-api,com.varmateo.yawg.api,YawgException,0,9,0,0,0,4,0,2,0,2
Yawg acceptance tests/yawg-api,com.varmateo.yawg.api,YawgInfo,67,41,7,3,6,12,6,1,1,1
Yawg acceptance tests/yawg-api,com.varmateo.yawg.api,Result.Success,0,16,0,0,0,6,0,4,0,4
Yawg acceptance tests/yawg-api,com.varmateo.yawg.api,Result.Failure,0,16,0,0,0,6,0,4,0,4
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,BakerCli,0,232,0,0,0,48,0,18,0,18
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,CliParameterSet,45,233,4,16,11,67,4,22,0,16
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,CliParameter,0,159,0,16,0,43,0,19,0,11
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,BakerCliBakeOptionsParser,13,81,1,1,6,24,3,6,2,6
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,BakerCliAction,3,46,1,5,1,13,1,8,0,6
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,BakerCliRunOptions.Builder,5,34,0,0,2,10,1,4,1,4
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,CliParameter.Builder,0,41,0,0,0,15,0,6,0,6
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,CliException,35,67,0,0,5,12,2,6,2,6
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,BakerCliBakeOptions,0,5,0,0,0,1,0,1,0,1
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,BakerCliParameters,3,117,0,0,2,42,1,4,1,4
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,InfoPrinter,0,80,0,0,0,19,0,6,0,6
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,BakerCliAction.PrintHelp,3,6,0,0,2,3,1,2,1,2
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,BakerCliBakeOptions_Builder.Property,8,71,0,0,1,9,2,3,2,3
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,BakerCliBakeOptions_Builder.Value,136,39,12,0,18,12,10,6,4,6
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,InfoPrinter.Builder,0,25,0,0,0,9,0,4,0,4
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,CliInfoPrinter.Builder,0,41,0,0,0,15,0,6,0,6
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,Main,84,0,8,0,18,0,8,0,4,0
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,CliInfoPrinter,0,111,0,0,0,29,0,7,0,7
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,BakerCliBakeOptions.Builder,0,3,0,0,0,2,0,1,0,1
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,BakerCliRunOptions,0,23,0,0,0,6,0,2,0,2
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,BakerCliAction.PrintVersion,3,6,0,0,2,3,1,2,1,2
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,BakerCliBakeOptions_Builder.Rebuildable,0,3,0,0,0,1,0,1,0,1
Yawg acceptance tests/yawg-cli,com.varmateo.yawg.cli,BakerCliBakeOptions_Builder.Partial,268,0,34,0,51,0,27,0,10,0
