GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Yawg core,com.varmateo.yawg.html,HtmlPageBakerException,116,3,0,0,17,1,12,1,12,1
Yawg core,com.varmateo.yawg.html,HtmlTemplateContext,3,88,0,0,2,20,1,7,1,7
Yawg core,com.varmateo.yawg.html,HtmlPageBaker,111,0,2,0,26,0,14,0,13,0
Yawg core,com.varmateo.yawg.util,FileUtils,299,52,40,2,24,13,32,5,12,4
Yawg core,com.varmateo.yawg.util,SimpleMapException,0,28,0,0,0,6,0,2,0,2
Yawg core,com.varmateo.yawg.util,Results,14,9,2,0,5,4,3,1,2,1
Yawg core,com.varmateo.yawg.util,YamlParser,0,29,1,3,0,9,1,3,0,2
Yawg core,com.varmateo.yawg.util,OnDirBakeResults.new OnDirBakeResult() {...},15,0,0,0,4,0,4,0,4,0
Yawg core,com.varmateo.yawg.util,OnDirBakeResults.new OnDirBakeResult() {...},4,11,0,0,1,3,1,3,1,3
Yawg core,com.varmateo.yawg.util,GlobMatcher.Builder,0,71,0,0,0,16,0,5,0,5
Yawg core,com.varmateo.yawg.util,SimpleList,23,48,1,3,5,12,3,6,2,5
Yawg core,com.varmateo.yawg.util,PageBakeResults.new PageBakeResult() {...},4,5,0,0,1,2,1,2,1,2
Yawg core,com.varmateo.yawg.util,SimpleList.SimpleIterator,4,39,1,3,1,9,1,4,0,3
Yawg core,com.varmateo.yawg.util,SimpleListException,2,34,1,1,0,8,1,2,0,2
Yawg core,com.varmateo.yawg.util,PageBakeResults.new PageBakeResult() {...},11,0,0,0,3,0,3,0,3,0
Yawg core,com.varmateo.yawg.util,SimpleMap,0,79,0,4,0,20,0,11,0,9
Yawg core,com.varmateo.yawg.util,PageBakeResults,28,4,2,0,10,1,6,1,5,1
Yawg core,com.varmateo.yawg.util,Trys,93,0,10,0,18,0,14,0,9,0
Yawg core,com.varmateo.yawg.util,OnDirBakeResults,12,21,1,1,4,7,3,3,2,3
Yawg core,com.varmateo.yawg.util,GlobMatcher,0,72,0,2,0,19,0,9,0,8
Yawg core,com.varmateo.yawg.freemarker,FreemarkerDataModel.YawgFreemarkerDataModel,26,16,0,0,7,6,7,2,7,2
Yawg core,com.varmateo.yawg.freemarker,FreemarkerTemplateServiceException,0,83,0,0,0,14,0,4,0,4
Yawg core,com.varmateo.yawg.freemarker,FreemarkerDataModel,0,27,0,2,0,6,0,3,0,2
Yawg core,com.varmateo.yawg.freemarker,FreemarkerTemplateService,0,77,0,0,0,27,0,7,0,7
Yawg core,com.varmateo.yawg.freemarker,FreemarkerTemplateService.FreemarkerTemplate,0,40,0,0,0,11,0,5,0,5
Yawg core,com.varmateo.yawg.logging,LogFactory,19,14,0,0,7,4,3,2,3,2
Yawg core,com.varmateo.yawg.logging,Logs,162,0,4,0,31,0,14,0,12,0
Yawg core,com.varmateo.yawg.logging,LoggerLog,69,25,5,1,20,9,12,3,9,3
Yawg core,com.varmateo.yawg.commonmark,CommonMarkTemplateContextFactory,125,0,2,0,27,0,12,0,11,0
Yawg core,com.varmateo.yawg.commonmark,CommonMarkPageBakerException,119,0,0,0,18,0,13,0,13,0
Yawg core,com.varmateo.yawg.commonmark,CommonMarkPageBaker,221,0,2,0,52,0,23,0,22,0
Yawg core,com.varmateo.yawg.asciidoctor,AsciidoctorPageBakerException,78,3,0,0,11,1,8,1,8,1
Yawg core,com.varmateo.yawg.asciidoctor,AdocUtils,18,63,0,0,8,19,2,3,2,3
Yawg core,com.varmateo.yawg.asciidoctor,AsciidoctorPageBaker,137,20,2,0,29,6,12,4,11,4
Yawg core,com.varmateo.yawg.asciidoctor,AsciidoctorTemplateContext,3,130,1,5,2,31,2,10,1,8
Yawg core,com.varmateo.yawg.core,DefaultSiteBaker,20,0,0,0,8,0,3,0,3,0
Yawg core,com.varmateo.yawg.core,DirBakerException,68,3,0,0,11,1,6,1,6,1
Yawg core,com.varmateo.yawg.core,CollectiveTemplateServiceException,18,0,0,0,4,0,2,0,2,0
Yawg core,com.varmateo.yawg.core,DirEntryScanner,30,36,6,2,0,9,4,3,0,3
Yawg core,com.varmateo.yawg.core,DirBakeOptionsDao,91,270,9,9,15,72,9,18,3,15
Yawg core,com.varmateo.yawg.core,DirBakeOptionsDaoException,22,57,0,0,2,10,1,4,1,4
Yawg core,com.varmateo.yawg.core,BakerMatcher.Entry,0,15,0,0,0,6,0,3,0,3
Yawg core,com.varmateo.yawg.core,BakerMatcher.Builder,6,64,0,0,3,16,1,8,1,8
Yawg core,com.varmateo.yawg.core,CoreSiteBakerModule,75,0,0,0,21,0,6,0,6,0
